id;location_id;evse_id;connector_id;possible_charing_flag;instead_charing;name;latitude;longitude;address;city;postal_code;opening_times;status;cpo_name;power_type;price;vat;phone_number;payment_method
1;tolerance scale Fish;Shoes;calculate scalable Mobility;true;Swaziland ;programming strategize Buckinghamshire;Practical ;withdrawal;optical 충북;West 기우;Rubber Web;동;OUTOFORDER;Supervisor Customer;backi;76317;6279;Future-proofed Lead;Islands Ball Pizza
2;quantifying;supply-chains solution;deposit;false;capacitor ;firewall experiences Plastic;Account;facilitate;Implementation Fresh SSL;남;Krona;monitoring Shoes;CHARGING;Organic deposit 대전;Arab ;71175;5891;Product product User;e-business adapter Home
3;Ball;Card Handcrafted ivory;transmit 1080p gold;true;expedite S;Cotton;back-end S;navigate va;Front-line compress application;성현구;auxiliary ;Innovative;OUTOFORDER;면 withdrawal transmi;Accou;17279;66600;Architect cross-medi;program quantifying seize
4;Fresh;Soap;Expanded;true;incubate S;one-to-one Devolved;Mozambique;user-centri;visionary Down-sized;West 여훈;Clothing;전남 encompassing haptic;AVAILABLE;Investment AI;Bucki;81559;48270;Krona Human JSON;USB deposit
5;COM payment;optimal;application;false;Handmade;Brunei Dirham;Garden;out-of-the-;Rubber;도군;Wooden 면;deposit Total;AVAILABLE;withdrawal;Avon ;32497;91022;functionalities;Keyboard 1080p hierarchy
6;visionary;bi-directional Officer;Borders Soap;true;Kids Dynam;networks;asymmetric;ADP Books;up;East 루원시;면 읍;Open-architected;AVAILABLE;Borders Cambridgeshi;Pract;96646;37410;program;Cambodia
7;Dirham up Expanded;Security Kroon Berkshire;Product;false;viral Egyp;systemic;Buckingham;Loan Cambod;세종 regional Cambridgeshire;West 도준;protocol;facilitate Colombian America;OUTOFORDER;Toys bypassing capac;Home ;30301;10787;면;Agent Forward
8;morph generating;세종 multi-byte;Automotive;false;payment Ce;integrate;Bedfordshi;New;Engineer Avon;South 은교;제주 open;override Versatile 읍;OUTOFORDER;Fundamental visualiz;Chips;84903;87484;SAS;programming Concrete
9;digital Re-contextualized;Timor-Leste revolutionize;payment;false;Regional D;Re-engineered Tasty;visionary ;전북 충북 depos;Director Group Hat;North 훈서;matrix;Sudan;OUTOFORDER;Account;index;51986;66623;Tasty monetize gener;Bike 대전 TCP
10;Berkshire;Computers;Borders THX;false;payment pa;Moldovan;Engineer A;web-readine;세종;여구;경북 schemas;navigating morph;AVAILABLE;Computers;depos;71341;31268;Buckinghamshire;quantifying gold
