id;seller_id;name;latitude;longitide;icon;address;city;open_hours;provider;alert_message;is_removed;is_private
1;70930;Concrete;40341;84169;14106;Internal reinvent;남;(Bouvetoya) Table relationships;OCPI;value-added 경남;false;true
2;35824;transform;1244;35753;91739;array;견군;Direct Account;OCPI;면 Ball Home;false;true
3;10725;Table Sausages;71755;7235;85652;Generic Dynamic;East 초인;deposit Computers utilize;Virta;Saint;true;true
4;79157;back;70914;75116;29950;Cambridgeshire;남원;Fresh hacking teal;OCPI;Loan hack;false;false
5;19807;projection Regional;45254;50461;74049;purple;황군;indexing;Virta;Buckinghamshire bus Pizza;true;true
6;78887;Rand;4751;56170;84220;Right-sized user-centric Keyboard;은현구;Table;Virta;동;true;false
7;86111;teal Expanded Malaysia;30729;50907;71615;Rupee;김천;approach index Directives;Hubject;Fresh Baby;true;false
8;30985;microchip Concrete architectures;46747;12247;84751;withdrawal;장시;Plastic;Virta;Books 광주;true;true
9;93616;Officer Assistant Coordinator;77892;14409;23160;Manager Indonesia Cambridgeshire;Port 채현구;data-warehouse Liberian;OCPI;Buckinghamshire;true;false
10;94653;1080p composite;177;32143;9563;Electronics;부평;Account transmitting;Hubject;Soft Fish e-business;true;false
