id;mem_no;cpo_name;location_id;status
1;ubiquitous Soft orchestrate;payment Progressive ;value-added;UNCHECK
2;matrices;green expedite;projection Computers;UNCHECK
3;interactive payment;24/7 Concrete Cambri;connecting;UNCHECK
4;Open-source Generic;Avon 부산;Kids parse;CHECK
5;Security robust auxiliary;Liaison Grocery;optimizing Games network;UNCHECK
6;up;면 1080p hacking;Designer;UNCHECK
7;Web Interactions iterate;Phased calculating 면;turquoise generate;CHECK
8;invoice;payment cutting-edge;holistic Savings Business-focused;UNCHECK
9;광주 면;San Awesome;TCP Savings Corporate;UNCHECK
10;connecting SMTP seize;Implementation Kroon;database;UNCHECK
